,Order_ID,Order_Date,Ship_Date,Customer_Id,Customer_Name,Customer_Segment,Product_Id,Product_Name,Category,Region,State,City,Quantity,Unit_Price,Discount(%),Sales_Amount,Cost_Price,Profit,Payment_Mode,Delivery_Staus,Supplier_Name,Supplier_Email,Stock_Left,Auto_Reorder,Reorder_Quantity
0,ORD1000,2025-10-21,2025-10-27,CUST441,Heather Scott,Consumer,PROD9398,Snacks,Grocery,East,Mississippi,North Kimberly,6,610,20,2928.0,2066.58,861.42,Net Banking,Delivered,Long-Brown,linwilliam@example.org,21,No,0
1,ORD1001,2024-05-23,2024-05-29,CUST600,Todd Perez,Corporate,PROD2659,Dinning Table,Furniture,North,Louisiana,North Louisview,2,1379,5,2620.1,1958.93,661.17,Net Banking,Returned,Saunders-Beltran,vfitzpatrick@example.net,24,No,0
2,ORD1002,2025-10-16,2025-10-21,CUST558,Kara Johnson,Consumer,PROD9560,Rice Bag,Grocery,East,Maryland,North Scotthaven,5,4360,15,18530.0,16220.68,2309.32,Net Banking,Returned,"Davis, Knapp and Allen",parkererin@example.org,11,No,0
3,ORD1003,2026-01-06,2026-01-12,CUST520,Tiffany Miller,Home Office,PROD3437,Office Chair,Furniture,West,Nevada,West Danielview,4,4118,0,16472.0,12908.44,3563.56,UPI,Cancelled,Price Inc,monica92@example.org,12,No,0
4,ORD1004,2024-08-08,2024-08-13,CUST712,Sharon Mccarty,Corporate,PROD5390,Cooking Oil,Grocery,South,Alabama,East Lisaberg,4,1989,15,6762.6,6064.65,697.95,Credit,Cancelled,Clark-Brandt,ppoole@example.org,23,No,0
5,ORD1005,2025-05-24,2025-05-30,CUST620,Steven Peters,Home Office,PROD3773,Pen,Office Supplies,East,Nebraska,North Melissabury,7,1371,0,9597.0,6134.46,3462.54,Net Banking,Pending,"Smith, Gonzalez and Sparks",amy57@example.org,17,No,0
6,ORD1006,2024-08-18,2024-08-22,CUST463,Matthew Rodriguez,Home Office,PROD8104,Juice Pack,Grocery,South,Minnesota,North Michael,8,3479,10,25048.8,21903.08,3145.72,Net Banking,Cancelled,Martinez LLC,lopezbrian@example.net,9,Yes,0
7,ORD1007,2024-11-05,2024-11-11,CUST371,Mary Smith,Consumer,PROD4532,Calculator,Office Supplies,South,Indiana,South Jonathan,10,2100,20,16800.0,10522.61,6277.39,Net Banking,Pending,Eaton-Miller,gloria08@example.org,19,No,0
8,ORD1008,2024-08-05,2024-08-12,CUST685,Paul Perez,Home Office,PROD2299,Bookshelf,Furniture,South,Colorado,Port Brenda,1,430,0,430.0,356.31,73.69,UPI,Cancelled,Thomas-Hamilton,ryanerica@example.net,0,Yes,23
9,ORD1009,2024-09-26,2024-10-03,CUST416,Rebecca Logan,Consumer,PROD8664,Snacks,Grocery,West,New York,Roberttown,9,1982,15,15162.3,13157.45,2004.85,Net Banking,Delivered,Rose LLC,dbaker@example.com,22,No,0
10,ORD1010,2025-10-30,2025-11-01,CUST783,John Kerr,Consumer,PROD1856,Cooking Oil,Grocery,East,Indiana,South Kristie,1,2707,0,2707.0,1933.12,773.88,Cash,Cancelled,Ball-Larson,brianarollins@example.net,30,No,0
11,ORD1011,2026-01-27,2026-01-29,CUST528,Monica Hansen,Consumer,PROD3708,Snacks,Grocery,West,Kentucky,Jacquelinefort,7,2718,0,19026.0,14262.77,4763.23,Cash,Delivered,Adams Ltd,sherrihorne@example.com,0,Yes,17
12,ORD1012,2024-06-29,2024-07-03,CUST524,Paula Russell,Consumer,PROD7032,Rice Bag,Grocery,West,Wyoming,Millerburgh,1,2381,15,2023.85,1688.76,335.09,Net Banking,Delivered,Mason Ltd,whitetimothy@example.net,17,No,0
13,ORD1013,2025-03-17,2025-03-18,CUST224,Tony Taylor,Consumer,PROD8905,Mouse,Electronics,East,Rhode Island,Nicholasborough,6,579,0,3474.0,2934.35,539.65,Cash,Delivered,Clark Group,baldwinjamie@example.net,30,No,0
14,ORD1014,2025-09-30,2025-10-02,CUST529,Paul Andrews,Corporate,PROD1307,Laptop,Electronics,West,Florida,Bryanland,3,3639,0,10917.0,8862.21,2054.79,Cash,Cancelled,Newman LLC,ffisher@example.org,22,No,0
15,ORD1015,2024-08-09,2024-08-13,CUST170,Jennifer Taylor,Consumer,PROD6504,Mouse,Electronics,South,Colorado,East Samantha,10,535,10,4815.0,3954.52,860.48,Credit,Cancelled,Galloway-Moreno,whitezachary@example.com,8,Yes,23
16,ORD1016,2026-02-03,2026-02-04,CUST905,Erica Berry,Home Office,PROD1829,Stapler,Office Supplies,South,Massachusetts,Toddfurt,7,400,10,2520.0,2230.69,289.31,Cash,Delivered,Brown-Franklin,philipblake@example.com,10,No,0
17,ORD1017,2024-09-08,2024-09-11,CUST961,Jillian Peters,Corporate,PROD5811,Notebook,Office Supplies,South,Tennessee,Jessicaside,10,3275,10,29475.0,24942.92,4532.08,Credit,Cancelled,Miller Group,james63@example.net,17,No,0
18,ORD1018,2025-05-12,2025-05-14,CUST256,Michelle Abbott,Corporate,PROD8851,Notebook,Office Supplies,South,Missouri,Anthonybury,9,1410,10,11421.0,7910.21,3510.79,Cash,Pending,Holloway Group,swansonmary@example.com,10,No,0
19,ORD1019,2025-01-22,2025-01-25,CUST111,Rachel Chambers,Home Office,PROD2243,Rice Bag,Grocery,East,Maine,Willisbury,9,3537,0,31833.0,20713.83,11119.17,UPI,Delivered,Sims-Parker,josephbarnes@example.com,26,No,0
20,ORD1020,2024-12-07,2024-12-10,CUST712,Eric Figueroa,Corporate,PROD8649,Rice Bag,Grocery,East,California,Pricechester,2,1135,5,2156.5,1504.93,651.57,Net Banking,Returned,Gonzalez-Garcia,brian31@example.org,0,Yes,11
21,ORD1021,2024-07-02,2024-07-07,CUST166,Paul Clark,Corporate,PROD5490,Cooking Oil,Grocery,North,Nevada,New Bruce,8,4068,5,30916.8,23372.66,7544.14,UPI,Pending,"Neal, Hanson and Torres",vowens@example.net,22,No,0
22,ORD1022,2024-05-27,2024-05-31,CUST745,Jennifer Wallace,Home Office,PROD1237,Pen,Office Supplies,South,Washington,Wileyfurt,8,1950,5,14820.0,9086.22,5733.78,Cash,Delivered,Hickman-Price,rodriguezleah@example.org,24,No,0
23,ORD1023,2026-02-26,2026-03-02,CUST107,Tyler Castillo,Home Office,PROD3491,Rice Bag,Grocery,North,Massachusetts,Watersside,2,2125,0,4250.0,3110.71,1139.29,Net Banking,Pending,Davis LLC,briannadavid@example.com,9,Yes,2
24,ORD1024,2025-02-01,2025-02-06,CUST972,Nicholas Smith,Home Office,PROD7972,Dinning Table,Furniture,South,Virginia,Stevenland,10,3073,20,24584.0,16451.2,8132.8,Net Banking,Delivered,"Gonzalez, Garcia and Mendez",bgeorge@example.com,30,No,0
25,ORD1025,2025-04-20,2025-04-22,CUST379,Dustin Olson,Home Office,PROD5735,Snacks,Grocery,East,Kentucky,Keithside,9,2968,15,22705.2,14158.52,8546.68,UPI,Cancelled,Ponce-Lawrence,gbutler@example.net,5,Yes,8
26,ORD1026,2024-08-14,2024-08-21,CUST232,Brenda Martinez,Home Office,PROD5296,Headphone,Electronics,South,Virginia,New Douglasburgh,7,2350,10,14805.0,10661.68,4143.32,Cash,Cancelled,"Fox, Curtis and Anderson",carldeleon@example.com,28,No,0
27,ORD1027,2025-04-02,2025-04-03,CUST943,Stanley Lambert,Corporate,PROD6245,Snacks,Grocery,East,Oregon,Port Robert,1,4668,20,3734.4,2322.64,1411.76,UPI,Delivered,"Sullivan, Rivera and Brown",roy37@example.org,30,No,0
28,ORD1028,2024-08-15,2024-08-20,CUST817,Richard Key,Consumer,PROD3530,Cooking Oil,Grocery,South,Maryland,Walkerchester,9,3699,20,26632.8,19444.61,7188.19,Cash,Pending,Gonzalez-Escobar,ygibson@example.com,12,No,0
29,ORD1029,2024-06-04,2024-06-11,CUST294,Hector Harris,Consumer,PROD2357,File Folder,Office Supplies,East,Washington,South Mariafurt,4,3259,15,11080.6,9438.84,1641.76,Cash,Cancelled,Howard Inc,dominic61@example.net,20,No,0
30,ORD1030,2024-05-06,2024-05-07,CUST493,Kimberly Owens,Corporate,PROD7550,Monitor,Electronics,West,Minnesota,East Philiphaven,4,464,20,1484.8,1262.98,221.82,Cash,Pending,"Manning, Summers and Sexton",jenkinsnancy@example.net,21,No,0
31,ORD1031,2025-01-17,2025-01-18,CUST959,Kaitlyn Gibson,Home Office,PROD5460,Stapler,Office Supplies,North,Arkansas,Deanmouth,7,874,0,6118.0,5307.25,810.75,Credit,Returned,Boone PLC,michaelrobinson@example.com,2,Yes,2
32,ORD1032,2025-04-06,2025-04-07,CUST348,Anthony Erickson DDS,Consumer,PROD7775,Rice Bag,Grocery,West,Utah,Lake Angelashire,8,2268,10,16329.6,10221.75,6107.85,Cash,Delivered,Valentine-Lucas,werneryolanda@example.org,3,Yes,15
33,ORD1033,2024-08-08,2024-08-15,CUST980,Sharon Dodson,Home Office,PROD1394,Stapler,Office Supplies,South,Indiana,West Brittneystad,4,3220,10,11592.0,8913.65,2678.35,UPI,Pending,Mitchell-Sanchez,rstafford@example.org,19,No,0
34,ORD1034,2024-09-23,2024-09-26,CUST142,Megan Hughes,Home Office,PROD8760,Monitor,Electronics,South,Georgia,West Tyler,9,4465,15,34157.25,23834.1,10323.15,UPI,Pending,Woods and Sons,sean88@example.org,8,Yes,7
35,ORD1035,2025-09-07,2025-09-08,CUST474,Gregory Cox,Home Office,PROD4478,Office Chair,Furniture,South,California,Port Williamborough,7,1066,5,7088.9,4872.84,2216.06,Net Banking,Delivered,King-Pearson,yboyd@example.net,15,No,0
36,ORD1036,2025-08-06,2025-08-11,CUST135,Melanie Gomez,Home Office,PROD2289,Study Table,Furniture,West,Indiana,New Michael,9,361,0,3249.0,2830.12,418.88,Net Banking,Pending,Boyle-Alvarado,gabriellewilson@example.net,9,Yes,16
37,ORD1037,2025-08-08,2025-08-10,CUST659,Keith Guerrero,Consumer,PROD5258,Bookshelf,Furniture,North,North Dakota,Williamston,7,3251,5,21619.15,13561.79,8057.36,Net Banking,Cancelled,Castro and Sons,hoffmanbenjamin@example.org,25,No,0
38,ORD1038,2024-05-05,2024-05-11,CUST834,Laurie White,Home Office,PROD1890,Mouse,Electronics,North,Vermont,Port Monique,3,3947,0,11841.0,8433.17,3407.83,Credit,Cancelled,Jones and Sons,daniel22@example.net,14,No,0
39,ORD1039,2025-07-09,2025-07-10,CUST782,Tina Rhodes,Consumer,PROD6087,Study Table,Furniture,East,New Jersey,New Joy,1,3266,20,2612.8,2015.19,597.61,Cash,Returned,Powell LLC,nathanrichardson@example.com,25,No,0
40,ORD1040,2024-04-04,2024-04-09,CUST918,Jose Mercado,Home Office,PROD8223,Cooking Oil,Grocery,East,Michigan,Marychester,4,4730,10,17028.0,12888.97,4139.03,Credit,Pending,"Jackson, Thomas and Smith",rtravis@example.net,7,Yes,17
41,ORD1041,2025-02-24,2025-02-27,CUST165,Jeffrey Liu,Home Office,PROD2847,Calculator,Office Supplies,South,Rhode Island,Shafferhaven,6,1571,0,9426.0,6984.01,2441.99,Cash,Cancelled,Kelly-Baker,xpatterson@example.com,5,Yes,2
42,ORD1042,2025-09-13,2025-09-19,CUST449,Christopher Chavez,Home Office,PROD4833,Laptop,Electronics,East,Wyoming,Mitchellberg,10,962,20,7696.0,5407.9,2288.1,UPI,Pending,"Woods, Francis and Boyd",timothy01@example.org,20,No,0
43,ORD1043,2025-11-19,2025-11-20,CUST370,Gloria Bailey,Consumer,PROD7149,Headphone,Electronics,South,Massachusetts,Lake Pamela,5,4179,20,16716.0,13140.69,3575.31,Credit,Pending,"Barrett, Williams and Little",heather98@example.com,16,No,0
44,ORD1044,2024-03-04,2024-03-11,CUST771,Micheal Barker,Home Office,PROD5164,Stapler,Office Supplies,West,South Dakota,West Shelby,5,3361,10,15124.5,10053.99,5070.51,UPI,Delivered,"Williams, Herrera and White",lori88@example.com,3,Yes,24
45,ORD1045,2026-02-05,2026-02-10,CUST643,Jessica Thompson,Home Office,PROD5516,Snacks,Grocery,West,Delaware,Smithshire,8,1839,5,13976.4,9571.1,4405.3,Net Banking,Cancelled,Mccoy-Jackson,dsummers@example.com,14,No,0
46,ORD1046,2025-03-27,2025-03-30,CUST394,Veronica Bowman,Consumer,PROD6147,Monitor,Electronics,South,Nebraska,Kendraborough,10,3175,0,31750.0,27662.61,4087.39,Credit,Returned,"Webster, Anderson and Jackson",brandonhernandez@example.org,16,No,0
47,ORD1047,2024-04-21,2024-04-23,CUST837,Amber Davis,Home Office,PROD2673,Notebook,Office Supplies,East,Hawaii,Evelynland,1,895,10,805.5,501.4,304.1,UPI,Cancelled,Dean-Simpson,tanyajohnson@example.org,0,Yes,8
48,ORD1048,2025-01-14,2025-01-18,CUST369,Taylor Morris,Consumer,PROD6430,Pen,Office Supplies,East,Arizona,Brianmouth,6,4235,10,22869.0,15868.97,7000.03,Net Banking,Delivered,Ford Ltd,lisa99@example.com,8,Yes,21
49,ORD1049,2024-12-30,2025-01-02,CUST809,Robert Lopez,Home Office,PROD9819,Calculator,Office Supplies,East,Vermont,West William,8,3259,5,24768.4,21354.14,3414.26,Credit,Delivered,"Watson, Harmon and Patrick",csmith@example.org,27,No,0
50,ORD1050,2024-04-28,2024-05-02,CUST549,Rhonda Sherman,Home Office,PROD1741,Juice Pack,Grocery,South,Nevada,Leetown,9,3252,0,29268.0,19165.24,10102.76,Cash,Delivered,Carter Group,emcdowell@example.net,16,No,0
51,ORD1051,2025-08-04,2025-08-11,CUST364,Sherry Reynolds,Home Office,PROD5684,Dinning Table,Furniture,West,Virginia,West Steven,6,1817,15,9266.7,8220.75,1045.95,Net Banking,Delivered,Robertson Inc,jillian88@example.com,23,No,0
52,ORD1052,2026-01-15,2026-01-20,CUST396,Michael Martinez V,Consumer,PROD9303,Mouse,Electronics,West,Wisconsin,New Saraview,8,4162,20,26636.8,20024.7,6612.1,Credit,Cancelled,Best Group,joannbartlett@example.net,10,No,0
53,ORD1053,2025-09-19,2025-09-21,CUST423,Jennifer Ward,Corporate,PROD3228,Mouse,Electronics,West,Louisiana,Mccormickberg,7,4703,15,27982.85,17671.92,10310.93,Net Banking,Pending,Woods-Olson,steven35@example.org,16,No,0
54,ORD1054,2024-03-21,2024-03-25,CUST155,Jessica Carter,Corporate,PROD6530,Notebook,Office Supplies,South,Maryland,New Jessicahaven,6,140,20,672.0,567.66,104.34,Net Banking,Returned,"Berg, Sharp and Hansen",debra83@example.org,29,No,0
55,ORD1055,2024-04-30,2024-05-07,CUST473,John Bennett,Corporate,PROD7320,Dinning Table,Furniture,South,Florida,West Kathleenbury,9,1913,20,13773.6,9299.04,4474.56,Cash,Cancelled,"Hurley, Austin and Garcia",rayholly@example.com,20,No,0
56,ORD1056,2024-10-26,2024-10-30,CUST401,Robert White,Home Office,PROD7726,Calculator,Office Supplies,North,Indiana,Lake Paula,2,1613,5,3064.7,2655.42,409.28,Net Banking,Cancelled,Lewis and Sons,laustin@example.net,21,No,0
57,ORD1057,2025-09-09,2025-09-10,CUST935,Mark Ford,Home Office,PROD4934,Stapler,Office Supplies,South,Massachusetts,New Joseph,7,2266,0,15862.0,9595.44,6266.56,Cash,Cancelled,Arias-Nicholson,boonestephanie@example.com,20,No,0
58,ORD1058,2025-11-07,2025-11-10,CUST197,Caroline Castro,Corporate,PROD9848,Snacks,Grocery,North,Maine,South Katherinestad,10,1785,15,15172.5,13316.41,1856.09,Net Banking,Returned,Mcclain Inc,stewartkelly@example.net,17,No,0
59,ORD1059,2025-07-07,2025-07-10,CUST316,Sandra Mcconnell,Consumer,PROD8167,Notebook,Office Supplies,North,Michigan,New Andrew,3,2713,15,6918.15,4281.07,2637.08,Cash,Pending,Scott-Martin,dcollins@example.org,9,Yes,2
60,ORD1060,2024-10-15,2024-10-20,CUST897,Mary Hill,Consumer,PROD7652,Rice Bag,Grocery,West,Louisiana,South Samuel,8,3663,20,23443.2,14641.34,8801.86,Net Banking,Delivered,Perez-Cole,zmorales@example.com,27,No,0
61,ORD1061,2025-11-28,2025-12-05,CUST741,Brandon Thompson,Home Office,PROD5385,Cooking Oil,Grocery,North,Mississippi,West Xavierbury,7,922,10,5808.6,5090.83,717.77,Credit,Pending,Kirby-Lloyd,amy75@example.com,17,No,0
62,ORD1062,2025-11-01,2025-11-02,CUST256,Christina Crawford,Corporate,PROD6428,Snacks,Grocery,East,Oregon,Franklinton,10,3106,15,26401.0,22081.1,4319.9,Net Banking,Returned,"Green, Brown and Waters",brandonlewis@example.org,13,No,0
63,ORD1063,2024-11-25,2024-11-26,CUST205,Dr. Daniel Scott,Home Office,PROD6457,Headphone,Electronics,North,Washington,Reedbury,2,2370,10,4266.0,2889.83,1376.17,Net Banking,Delivered,Alexander-Carter,hugheslori@example.com,4,Yes,25
64,ORD1064,2025-10-26,2025-10-28,CUST840,Mrs. Jennifer Richards,Home Office,PROD7170,Stapler,Office Supplies,North,Arizona,New David,9,2690,20,19368.0,16277.12,3090.88,Cash,Delivered,Fritz LLC,williambailey@example.org,4,Yes,20
65,ORD1065,2025-09-09,2025-09-15,CUST777,Valerie Mora,Consumer,PROD2254,Stapler,Office Supplies,West,New York,Hawkinstown,8,3578,5,27192.8,19933.23,7259.57,Credit,Pending,"Rodriguez, Olson and Clark",fneal@example.org,15,No,0
